rank,resume_id,category,composite_score,status,est_years_exp,tfidf_score,skill_match_pct,category_pct,exp_score,edu_score,total_skills,matched_skills,missing_skills,bonus_skills,snippet
1,1003,Data Science,74.74, Highly Recommended,9,44.89,80.43,87.5,100.0,100.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","David Kim | david.k@email.com SUMMARY: Data Scientist with 9 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive m..."
2,1009,Data Science,73.61, Highly Recommended,8,45.1,80.43,87.5,100.0,85.0,44,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['databricks', 'git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","James Garcia | james.g@email.com SUMMARY: Data Scientist with 8 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictiv..."
3,1007,Data Science,73.3, Highly Recommended,9,44.89,80.43,87.5,100.0,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Henry Brown | henry.b@email.com SUMMARY: Data Scientist with 9 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
4,1017,Data Science,73.24, Highly Recommended,7,44.89,80.43,87.5,87.5,100.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Rachel Lopez | rachel.l@email.com SUMMARY: Data Scientist with 7 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predicti..."
5,1019,Data Science,73.13, Highly Recommended,10,44.3,80.43,87.5,100.0,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Tina Hall | tina.h@email.com SUMMARY: Data Scientist with 10 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive m..."
6,1006,Data Science,72.41, Highly Recommended,9,45.1,80.43,87.5,100.0,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Grace Patel | grace.p@email.com SUMMARY: Data Scientist with 9 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
7,1008,Data Science,72.41, Highly Recommended,9,45.1,80.43,87.5,100.0,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Iris Davis | iris.d@email.com SUMMARY: Data Scientist with 9 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive m..."
8,1016,Data Science,72.41, Highly Recommended,8,45.1,80.43,87.5,100.0,70.0,44,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'snowflake', 'transformers']","Quinn Harris | quinn.h@email.com SUMMARY: Data Scientist with 8 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictiv..."
9,1015,Data Science,72.23, Highly Recommended,10,44.5,80.43,87.5,100.0,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Peter Jackson | peter.j@email.com SUMMARY: Data Scientist with 10 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predict..."
10,1011,Data Science,72.11, Highly Recommended,7,45.1,80.43,87.5,87.5,85.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Liam Taylor | liam.t@email.com SUMMARY: Data Scientist with 7 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
